"seller_id","warehouse_id","model","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","type","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_status","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"36387","58640","PPMP","ANRCKRTA115296608","RUS_KURTA_STR_YELLOW_XL","36084490","115296608","Anouk Rustic","2025-11-08","2025-11-11",,"2025-11-13","2025-11-14","2025-11-17",,"1",,"8792993983","5667138800","10793192644","98ddd61e-90cb-4d61-93ee-0b989a4c4981","Return","Ret Delivered","8792993983",,"1","100099815817","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYEP1091240411","MYER1048818170",,,"2025-11-26 17:16:31.000",,,,
"36387","58640","PPMP","ANRCKRTA115296576","RUS_KURTA_STR_PINK_M","36084484","115296576","Anouk Rustic","2025-11-21",,,,"1970-01-01",,"2025-11-22",,,"8814550681","5680669793","10814802879","1554e490-7554-4192-a0cc-27eac9b12da4","RTO","Delivered","8814550681",,"1",,,,,"MYEC1075718548",,,,"2025-11-28 17:45:06.000",,,,
"36387","58640","PPMP","ANRCKRTA115296593","RUS_SOL_KURTA_ORANGE_XL","36084487","115296593","Anouk Rustic","2025-10-22","2025-10-26",,"2025-10-30","2025-11-02","2025-11-03",,"1",,"8766520523","5650944922","10766661024","6f2ddea3-b1fd-47f8-acc4-77faaad37b9c","Return","Ret Delivered","8766520523",,"1","100096088803","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEP1089312472","MYER1047732490",,,"2025-11-10 18:19:44.000",,,,
"36387","58640","PPMP","ANRCKRTA115296641","RUS_SOL_KURTA_YELLOW_M","36084497","115296641","Anouk Rustic","2025-11-08","2025-11-14",,"2025-11-16","2025-11-18","2025-11-19",,"1",,"8792460766","5666812095","10792659420","0518723d-9940-439d-9880-e0d41189a884","Return","Ret Delivered","8792460766",,"1","100101191027","OPEN_BOX_PICKUP","Delivery was delayed","DLS","MYEP1091240377","MYER1049023670",,,"2025-11-27 16:25:03.000",,,,
"36387","58640","PPMP","ANRCKRTA115296563","RUS_KURTA_GREY_XL","36084481","115296563","Anouk Rustic","2025-10-27","2025-10-29",,"2025-10-31","2025-11-09","2025-11-10",,"1",,"8773613910","5655385536","10773784595","80b67578-d3b7-400d-a76e-18fb80b04570","Return","Ret Delivered","9796873726",,"1","100098270951","OPEN_BOX_PICKUP","Product was defective","DLS","MYEP1089633594","MYER1048276547",,,"2025-11-20 15:09:33.000",,,,
"36387","58640","PPMP","ANRCKRTA115296642","RUS_SOL_KURTA_YELLOW_L","36084497","115296642","Anouk Rustic","2025-11-11",,,,"1970-01-01",,"2025-11-17",,,"8796595048","5669371804","10796800493","8beb2c9d-a007-4d25-90bb-6a51f7914001","RTO","RTO Created","9803392506",,"1",,,,,"219143222779781",,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296571","RUS_ICH_DOBBY_ORANGE_L","36084483","115296571","Anouk Rustic","2025-11-24","2025-11-25",,,"1970-01-01",,"2025-11-27",,,"8818638594","5683226663","10818897736","3e7d8868-20f2-4873-a2ab-d09d6403a12d","RTO","Delivered","8818638594",,"1",,,,,"MYEC1076052522",,,,"2025-12-09 16:53:06.000",,,,
"36387","58640","PPMP","ANRCKRTA115296643","RUS_SOL_KURTA_YELLOW_XL","36084497","115296643","Anouk Rustic","2025-10-27","2025-10-29",,,"1970-01-01",,"2025-11-02",,,"8773213270","5655134424","10773383890","ae6b5d18-72f1-4fdc-ae97-6291d6fd8cc7","RTO","Delivered","8773213270",,"1",,,,,"MYEC1072174100",,,,"2025-11-15 16:22:11.000",,,,
"36387","58640","PPMP","ANRCKRTA115296591","RUS_ICH_DOBBY_MUSTARD_XXL","36084486","115296591","Anouk Rustic","2025-11-21","2025-11-22",,,"1970-01-01",,"2025-11-24",,,"8813696244","5680105034","10813945937","128b7511-6c15-406f-b3c2-d187cf9a29c5","RTO","Delivered","8813696244",,"1",,,,,"MYEC1075640481",,,,"2025-12-02 17:19:53.000",,,,
"36387","58640","PPMP","ANRCKRTA115296577","RUS_KURTA_STR_PINK_L","36084484","115296577","Anouk Rustic","2025-11-13","2025-11-15",,"2025-11-19","2025-11-20","2025-11-20",,"1",,"8801026691","5672190463","10801242907","8fdf6a61-fcd5-45f9-9ff9-65e3a852977b","Return","Ret Delivered","9804843765",,"1","100101613334","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEP1092042682","MYER1049123030",,,"2025-11-28 17:45:06.000",,,,
"36387","58640","PPMP","ANRCKRTA115296605","RUS_KURTA_STR_YELLOW_S","36084490","115296605","Anouk Rustic","2025-10-18","2025-10-19",,"2025-10-22","2025-11-15","2025-11-15",,"1","8803430060","8761464949","5647708862","10761559923","aa27c9bd-73b8-4eb5-9873-2233e20410ad","Return","Ret Delivered","8761464949",,"1","100100073543","OPEN_BOX_PICKUP","Generic Return Reason","DLS","MYEP1088583598","MYER1048733782",,,"2025-11-24 17:57:05.000",,,,
"36387","58640","PPMP","ANRCKRTA115296621","RUS_SK_Shatranj_Quirky_White_M","36084493","115296621","Anouk Rustic","2025-10-10","2025-10-13",,,"1970-01-01",,"2025-11-04",,,"8746571632","5638519066","10746592201","dffadb23-d083-420f-be88-f566f5c65d8b","RTO","Delivered","8746571632",,"1",,,,,"MYEP1087372148",,,,"2025-11-20 15:09:33.000",,,,
"36387","58640","PPMP","ANRCKRTA115296659","RUS_KURTA_NAVY_XXL","36084500","115296659","Anouk Rustic","2025-11-21","2025-11-22",,,"1970-01-01",,"2025-11-24",,,"8813848375","5680202813","10814098695","00a635bd-5df6-44d8-b735-6ca258682cbe","RTO","Delivered","8813848375",,"1",,,,,"MYEP1093083074",,,,"2025-12-03 16:00:26.000",,,,
"36387","58640","PPMP","ANRCKRTA115296585","RUS_ICH_DOBBY_MUSTARD_S","36084486","115296585","Anouk Rustic","2025-10-27","2025-10-28",,"2025-10-30","2025-11-04","2025-11-05",,"1",,"8772686671","5654800164","10772855624","43b0ec53-c0a2-4f30-87c4-5b6d16831d2c","Return","Ret Delivered","8772686671",,"1","100096686623","OPEN_BOX_PICKUP","I do not need it anymore","DLS","MYEC1072093175","MYER1047884277",,,"2025-11-15 16:22:11.000",,,,
"36387","58640","PPMP","ANRCKRTA115296640","RUS_SOL_KURTA_YELLOW_S","36084497","115296640","Anouk Rustic","2025-11-14","2025-11-15",,"2025-11-17","2025-11-19","2025-11-20",,"1",,"8802076900","5672839665","10802294001","1ee50a28-a05f-427d-a7e2-ea0f1bc91338","Return","Ret Delivered","8802076900",,"1","100101524075","OPEN_BOX_PICKUP","Size too big","DLS","MYEP1092081262","MYER1049105284",,,"2025-11-27 16:25:03.000",,,,
"36387","58640","PPMP","ANRCKRTA115296564","RUS_SOL_KURTA_LIGHT BLUE_S","36084482","115296564","Anouk Rustic","2025-11-23",,,,"1970-01-01",,"2025-11-23",,,"8817067815","5682247166","10817324883","7bbda6da-a0de-4a10-b765-fbd589779de3","RTO","RTO Created","8817067815",,"1",,,,,"MYEC1075880347",,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296608","RUS_KURTA_STR_YELLOW_XL","36084490","115296608","Anouk Rustic","2025-11-14","2025-11-15",,"2025-11-17","2025-11-18","2025-11-19",,"1",,"8801714428","5672635161","10801931254","88786949-9cf9-4857-8e7f-d4fb49c5a66a","Return","Ret Delivered","8801714428",,"1","100101056344","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYEP1092043761","MYER1048989371",,,"2025-11-24 17:57:05.000",,,,
