"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","gt charges","seller price"
"36387","58640","PPMP","'131610034806391389203","8823904495","10824169092","fb863994-3430-4086-a390-ec6d1aa9e4e9","5686434717","2025-11-27 11:09:36.000","36084481","RUS_KURTA_GREY_XXL","115296565","ANRCKRTA115296565","XXL","RUS_KURTA_GREY","Anouk Rustic","Anouk Rustic Geometric Printed Mandarin Collar Straight Kurta","Kurtas","C","8823904495",,"EK_E2E","MYEP1093890467","58640",,,"2025-11-27 12:30:36.000","2025-11-27 16:54:10.000","2025-11-28 10:14:04.000","2025-11-28 10:20:24.000","2025-11-30 17:15:40.000",,,,"2025-12-01 08:49:00","299.00","2499.00","2200.00","30.00","0.00","0.00","0.00","Hyderabad","TG","500085","59","240"
"36387","58640","PPMP","'131479592755662891601","8798743585","10798952652","d2d7cda8-b5e1-4059-89f8-aa32bbe2e3c9","5670727155","2025-11-12 08:49:15.000","36084504","RUS_ICH_DOBBY_BEIGE_XXL","115296679","ANRCKRTA115296679","XXL","RUS_ICH_DOBBY_BEIGE","Anouk Rustic","Anouk Rustic Men Pure Cotton Woven Design Mandarin Collar Regular Kurta","Kurtas","F",,,"EK_E2E",,"58640","41","Incorrect size ordered",,,,,,"2025-11-12 09:04:57.000",,,,"299.00","2199.00","1900.00","0.00","0.00","0.00","0.00","West Godavari","AP","534166","59","240"
"36387","58640","PPMP","'131458267962055064601","8794639936","10794842020","fe1435e1-9c73-4426-a5bc-69ab6e2b7ca0","5668159181","2025-11-09 21:35:08.000","36084484","RUS_KURTA_STR_PINK_M","115296576","ANRCKRTA115296576","M","RUS_KURTA_STR_PINK","Anouk Rustic","Anouk Rustic Striped Band Collar Straight Kurta","Kurtas","C","8794639936",,"EK_E2E","MYEC1073953880","58640",,,"2025-11-10 09:59:58.000","2025-11-10 17:53:08.000","2025-11-11 04:24:02.000","2025-11-11 04:29:57.000","2025-11-14 11:28:02.000",,,,,"299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Patna","BR","800001","59","240"
"36387","58640","PPMP","'131474886354841084601","8797949462","10798158423","5fc86c80-442c-4bb5-8435-ee4ca7ba3936","5670236459","2025-11-11 19:44:52.000","36084481","RUS_KURTA_GREY_M","115296561","ANRCKRTA115296561","M","RUS_KURTA_GREY","Anouk Rustic","Anouk Rustic Geometric Printed Mandarin Collar Straight Kurta","Kurtas","F","8797949462",,"EK_E2E","MYEP1091710433","58640","28","Incorrect size ordered","2025-11-12 10:01:15.000","2025-11-12 18:27:09.000","2025-11-13 11:21:57.000","2025-11-13 11:27:32.000",,"2025-11-14 21:48:53.000",,,,"299.00","2499.00","2200.00","30.00","0.00","0.00","0.00","Hyderabad","TG","500059","59","240"
"36387","58640","PPMP","'131640104404200027103","8834271764","10834540411","848d10b3-65cc-4be7-9bb0-2a984056b08d","5691891965","2025-11-30 22:41:14.000","36084502","RUS_ICH_DIAMOND_NAVY BLUE_XL","115296668","ANRCKRTA115296668","XL","RUS_ICH_DIAMOND_NAVY BLUE","Anouk Rustic","Anouk Rustic Men Geometric Striped Thread Work Kurta","Kurtas","C","9813515226",,"EK_E2E","MYEP1094533573","58640",,,"2025-12-01 12:23:00.000","2025-12-01 16:52:42.000","2025-12-02 05:52:50.000","2025-12-02 05:59:33.000","2025-12-05 14:20:42.000",,,,,"299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Rewa","MP","486002","59","240"
"36387","58640","PPMP","'131431565144395194703","8789413426","10789606058","2636d263-e199-4a08-9c67-f155cfcfa041","5664907011","2025-11-06 19:24:39.000","36084490","RUS_KURTA_STR_YELLOW_L","115296607","ANRCKRTA115296607","L","RUS_KURTA_STR_YELLOW","Anouk Rustic","Anouk Rustic Men Striped Daily Straight Kurta","Kurtas","C","8789413426",,"EK_E2E","MYEC1073593476","58640",,,"2025-11-07 11:29:44.000","2025-11-07 18:28:18.000","2025-11-08 08:25:45.000","2025-11-08 08:31:59.000","2025-11-12 11:05:10.000",,,,,"299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Patna","BR","800001","59","240"
"36387","58640","PPMP","'131507115422974882601","8804061130","10804285459","b3a521e1-66e9-434c-aee1-4aa94fb40b1c","5674036354","2025-11-15 13:16:23.000","36084938","RUS_KURTA_PURPLE_XXL","115297525","ANRCKRTA115297525","XXL","RUS_KURTA_PURPLE","Anouk Rustic","Anouk Rustic Geometric Printed Band Collar Straight Kurta","Kurtas","C","8804061130",,"EK_E2E","MYEC1074823575","58640",,,"2025-11-15 13:54:58.000","2025-11-15 15:42:46.000","2025-11-16 04:07:27.000","2025-11-16 04:11:59.000","2025-11-18 15:28:28.000",,,,"2025-11-21 00:58:00","299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Jalgaon, ","MH","425201","59","240"
"36387","58640","PPMP","'131488073356453469001","8800348645","10800561430","8cd6aef4-991b-4da2-903d-fbba97da971e","5671751488","2025-11-13 08:22:42.000","36084484","RUS_KURTA_STR_PINK_M","115296576","ANRCKRTA115296576","M","RUS_KURTA_STR_PINK","Anouk Rustic","Anouk Rustic Striped Band Collar Straight Kurta","Kurtas","C","8800348645",,"EK_E2E","MYEP1091864383","58640",,,"2025-11-13 09:51:21.000","2025-11-13 17:45:43.000","2025-11-14 05:14:47.000","2025-11-14 05:19:32.000","2025-11-15 14:04:33.000",,,,,"299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Thane","MH","421204","59","240"
"36387","58640","PPMP","'131481077439514163501","8799089041","10799299941","da6ef411-afa7-44e5-850a-fb2a821ee888","5670948061","2025-11-12 12:56:42.000","36084481","RUS_KURTA_GREY_L","115296562","ANRCKRTA115296562","L","RUS_KURTA_GREY","Anouk Rustic","Anouk Rustic Geometric Printed Mandarin Collar Straight Kurta","Kurtas","F","8799089041",,"EK_E2E","MYEC1074383969","58640","27","Delayed Delivery Cancellation","2025-11-12 13:53:02.000","2025-11-12 18:27:09.000","2025-11-13 07:53:35.000","2025-11-13 08:00:38.000",,"2025-11-14 10:17:15.000",,,,"299.00","2499.00","2200.00","0.00","0.00","0.00","0.00","Vadodara","GJ","391410","59","240"
"36387","58640","PPMP","'131518191765297727703","8806588690","10806819092","9ee50729-d41b-4da6-a3ee-bd5f4ae47f47","5675571593","2025-11-16 20:02:26.000","36084497","RUS_SOL_KURTA_YELLOW_S","115296640","ANRCKRTA115296640","S","RUS_SOL_KURTA_YELLOW","Anouk Rustic","Anouk Rustic Band Collar Straight Kurta","Kurtas","F","8806588690",,"EK_E2E","MYEP1092507955","58640","49","Lost in-Transit","2025-11-17 12:30:01.000","2025-11-17 15:41:09.000",,,,"2025-11-27 19:24:26.000",,,,"299.00","1999.00","1700.00","0.00","0.00","0.00","0.00","Pune","MH","411002","59","240"
