"seller_id","warehouse_id","model","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","type","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_status","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"36387","58640","PPMP","ANRCKRTA115296677","RUS_ICH_DOBBY_BEIGE_L","36084504","115296677","Anouk Rustic","2025-08-14",,,,"1970-01-01",,"2025-08-21",,,"8616656351","5563654347","10616581717","ee02d667-fdb3-490f-924a-a72fa7d4c1aa","RTO",,"8616656351",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296561","RUS_KURTA_GREY_M","36084481","115296561","Anouk Rustic","2025-08-14",,,,"1970-01-01",,"2025-08-21",,,"8617238956","5564022029","10617164296","41287f13-1f68-4a59-b9ba-efb30dc2aaf5","RTO",,"8617238956",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296638","RUS_MAGIC_IKKAT_NAVY_XL","36084496","115296638","Anouk Rustic","2025-08-20",,,,"1970-01-01",,"2025-08-28",,,"8624607799","5568418317","10624532740","a47e852f-d07d-4ea6-98fd-783d3fe83680","RTO",,"8624607799",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296660","RUS_ICH_DIAMOND_CORAL_S","36084501","115296660","Anouk Rustic","2025-08-21",,,"2025-08-27","2025-08-28","2025-08-28",,"1","8636047808","8626418430","5569547921","10626343317","c85dfb1a-abf4-468d-96bc-ca2e7cef9c13","Return","Ret Delivered","8626418430",,"1","100073617223","OPEN_BOX_PICKUP","Size is too Small","DLS",,"MYER1042475457",,,"2025-09-08 17:21:21.000",,,,
"36387","58640","PPMP","ANRCKRTA115296576","RUS_KURTA_STR_PINK_M","36084484","115296576","Anouk Rustic","2025-08-16",,,,"1970-01-01",,"2025-08-23",,,"8619912274","5565581558","10619837480","fbe0a4c1-8111-41d6-a0d6-20c111d4144c","RTO",,"8619912274",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296577","RUS_KURTA_STR_PINK_L","36084484","115296577","Anouk Rustic","2025-08-12",,,"2025-08-15","2025-08-23","2025-08-24",,"1",,"8613530816","5561766136","10613456375","a2b5df85-6884-4bfd-9024-e3ae14a5f2cd","Return","Ret Delivered","8613530816",,"1","100072430935","OPEN_BOX_PICKUP","I did not like the fit","DLS",,"MYER1042193222",,,"2025-08-29 16:25:55.000",,,,
"36387","58640","PPMP","ANRCKRTA115296620","RUS_SK_Shatranj_Quirky_White_S","36084493","115296620","Anouk Rustic","2025-08-29","2025-08-30",,,"1970-01-01",,"2025-08-30",,,"8637950324","5576623529","10637874852","0b6d3f00-380b-4f00-8441-e9cdb0a2ecdf","RTO","Delivered","8637950324",,"1",,,,,"MYEC1062488984",,,,"2025-09-04 16:46:48.000",,,,
"36387","58640","PPMP","ANRCKRTA115296578","RUS_KURTA_STR_PINK_XL","36084484","115296578","Anouk Rustic","2025-08-25",,,,"1970-01-01",,"2025-08-29",,,"8632605814","5573247597","10632530465","a1f0523a-0447-4c46-b6c5-d94cdd8e6608","RTO",,"8632605814",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296666","RUS_ICH_DIAMOND_NAVY BLUE_M","36084502","115296666","Anouk Rustic","2025-08-25",,,,"1970-01-01",,"2025-08-31",,,"8632527554","5573198425","10632452206","d1e87ceb-2161-4805-87a4-7d8f3f248066","RTO",,"9759117286",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296633","RUS_SK_Shatranj_Eygpt_Black_XL","36084495","115296633","Anouk Rustic","2025-08-12",,,"2025-08-17","2025-08-17","2025-08-24",,"1",,"8614171269","5562168991","10614096805","f1e9456f-c443-482a-9ccb-cf94888a1132","Return","Ret Delivered","8614171269",,"1","100070766100","OPEN_BOX_PICKUP","Size too small","DLS",,"MYER1041808435",,,"2025-08-30 15:59:59.000",,,,
"36387","58640","PPMP","ANRCKRTA115297523","RUS_KURTA_PURPLE_L","36084938","115297523","Anouk Rustic","2025-08-11",,,"2025-08-16","2025-08-16","2025-08-17",,"1",,"8612349920","5561064141","10612275529","bd671026-ddab-4b54-9f53-ddaa55f45101","Return","Ret Delivered","8612349920",,"1","100070572553","OPEN_BOX_PICKUP","Size too small","DLS",,"MYER1041763333",,,"2025-09-03 17:44:36.000",,,,
"36387","58640","PPMP","ANRCKRTA115296686","RUS_ICH_CHECKS_GREY_M","36084506","115296686","Anouk Rustic","2025-08-14",,,,"1970-01-01",,"2025-08-21",,,"8617236814","5564020780","10617162154","a8291e54-d125-45a9-a934-954f11fbd654","RTO",,"8617236814",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296606","RUS_KURTA_STR_YELLOW_M","36084490","115296606","Anouk Rustic","2025-08-22",,,,"1970-01-01",,"2025-08-29",,,"8629002878","5571048566","10628927703","ed02c1dc-85fe-461c-9d82-69931d116606","RTO",,"8629002878",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296678","RUS_ICH_DOBBY_BEIGE_XL","36084504","115296678","Anouk Rustic","2025-08-11",,,"2025-08-16","2025-08-18","2025-08-18",,"1",,"8612412644","5561102552","10612338253","98da66c0-f0fe-4679-adf0-19c96115e3fe","Return","Ret Delivered","8612412644",,"1","100070948354","OPEN_BOX_PICKUP","Size too big","DLS",,"MYER1041849912",,,"2025-08-28 18:17:13.000",,,,
"36387","58640","PPMP","ANRCKRTA115296583","RUS_KURTA_BEIGE_XL","36084485","115296583","Anouk Rustic","2025-08-17",,,,"1970-01-01",,"2025-08-22",,,"8620871931","5566136212","10620797111","452216d5-b5cf-42fe-8130-ea0c4ab843d3","RTO",,"8620871931",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296638","RUS_MAGIC_IKKAT_NAVY_XL","36084496","115296638","Anouk Rustic","2025-08-18",,,"2025-08-23","2025-08-23","2025-08-24",,"1",,"8622528859","5567123099","10622453918","a3290940-44b1-4b4e-9ca3-db2fdca5f709","Return","Ret Delivered","8622528859",,"1","100072407197","OPEN_BOX_PICKUP","Size too big","DLS",,"MYER1042188793",,,"2025-08-28 18:17:13.000",,,,
"36387","58640","PPMP","ANRCKRTA115296651","RUS_SK_Shatranj_Quirky_Red_M","36084499","115296651","Anouk Rustic","2025-08-23",,,,"1970-01-01",,"2025-08-29",,,"8629536941","5571378249","10629461728","6a04558a-dfb6-43aa-a911-ee6bd8ac3da5","RTO",,"8629536941",,"1",,,,,,,,,,,,,
"36387","58640","PPMP","ANRCKRTA115296560","RUS_KURTA_GREY_S","36084481","115296560","Anouk Rustic","2025-08-17",,,,"1970-01-01",,"2025-08-22",,,"8621104869","5566275923","10621030047","a0867c79-9a28-42b6-b0e8-f510de54dccf","RTO",,"8621104869",,"1",,,,,,,,,,,,,
